"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.12.189.219","20.192.44.68","TLSv1.2","82","Application Data"
"2","0.083511","20.192.44.68","10.12.189.219","TCP","60","443  >  49866 [ACK] Seq=1 Ack=29 Win=1562 Len=0"
"3","0.088385","HewlettPacka_81:05:00","Broadcast","ARP","60","Who has 10.12.178.243? Tell 10.12.191.254"
"4","0.130106","HewlettPacka_81:05:00","Broadcast","ARP","60","Who has 10.12.179.73? Tell 10.12.191.254"
"5","0.137666","20.209.142.129","10.12.189.219","TCP","60","443  >  51229 [ACK] Seq=1 Ack=1 Win=781 Len=0"
"6","0.137666","20.209.142.129","10.12.189.219","TCP","60","443  >  51229 [ACK] Seq=1 Ack=2881 Win=781 Len=0"
"7","0.137666","20.209.142.129","10.12.189.219","TCP","60","443  >  51229 [ACK] Seq=1 Ack=5761 Win=781 Len=0"
"8","0.137666","20.209.142.129","10.12.189.219","TCP","60","443  >  51229 [ACK] Seq=1 Ack=8641 Win=781 Len=0"
"9","0.137666","20.209.142.129","10.12.189.219","TCP","60","443  >  51229 [ACK] Seq=1 Ack=11521 Win=781 Len=0"
"10","0.137666","20.209.142.129","10.12.189.219","TCP","60","443  >  51229 [ACK] Seq=1 Ack=14401 Win=781 Len=0"
"11","0.137666","20.209.142.129","10.12.189.219","TCP","60","443  >  51229 [ACK] Seq=1 Ack=17281 Win=781 Len=0"
"12","0.137749","10.12.189.219","20.209.142.129","SSLv2","20214","Encrypted Data"
"13","0.137920","20.209.142.129","10.12.189.219","TCP","60","443  >  51229 [ACK] Seq=1 Ack=20161 Win=781 Len=0"
"14","0.137920","20.209.142.129","10.12.189.219","TCP","60","443  >  51229 [ACK] Seq=1 Ack=23041 Win=781 Len=0"
"15","0.137920","20.209.142.129","10.12.189.219","TCP","60","443  >  51229 [ACK] Seq=1 Ack=25921 Win=781 Len=0"
"16","0.137920","20.209.142.129","10.12.189.219","TCP","60","443  >  51229 [ACK] Seq=1 Ack=28801 Win=781 Len=0"
"17","0.137920","20.209.142.129","10.12.189.219","TCP","60","443  >  51229 [ACK] Seq=1 Ack=31681 Win=781 Len=0"
"18","0.137969","10.12.189.219","20.209.142.129","SSLv2","14454","Encrypted Data, Encrypted Data"
"19","0.138127","20.209.142.129","10.12.189.219","TCP","60","443  >  51229 [ACK] Seq=1 Ack=34561 Win=781 Len=0"
"20","0.138127","20.209.142.129","10.12.189.219","TCP","60","443  >  51229 [ACK] Seq=1 Ack=37441 Win=781 Len=0"
"21","0.138127","20.209.142.129","10.12.189.219","TCP","60","443  >  51229 [ACK] Seq=1 Ack=40321 Win=781 Len=0"
"22","0.138127","20.209.142.129","10.12.189.219","TCP","60","443  >  51229 [ACK] Seq=1 Ack=43201 Win=781 Len=0"
"23","0.138153","10.12.189.219","20.209.142.129","SSLv2","11574","Encrypted Data, Encrypted Data"
"24","0.181775","20.209.142.129","10.12.189.219","TCP","60","443  >  51229 [ACK] Seq=1 Ack=44641 Win=781 Len=0"
"25","0.181836","10.12.189.219","20.209.142.129","SSLv2","1494",""
"26","0.450268","20.209.142.129","10.12.189.219","TCP","60","443  >  51229 [ACK] Seq=1 Ack=47521 Win=781 Len=0"
"27","0.450268","20.209.142.129","10.12.189.219","TCP","60","443  >  51229 [ACK] Seq=1 Ack=50401 Win=781 Len=0"
"28","0.450268","20.209.142.129","10.12.189.219","TCP","60","443  >  51229 [ACK] Seq=1 Ack=53281 Win=781 Len=0"
"29","0.450268","20.209.142.129","10.12.189.219","TCP","60","443  >  51229 [ACK] Seq=1 Ack=56161 Win=781 Len=0"
"30","0.450268","20.209.142.129","10.12.189.219","TCP","60","443  >  51229 [ACK] Seq=1 Ack=59041 Win=781 Len=0"
"31","0.450268","20.209.142.129","10.12.189.219","TCP","60","443  >  51229 [ACK] Seq=1 Ack=61921 Win=781 Len=0"
"32","0.450268","20.209.142.129","10.12.189.219","TCP","60","443  >  51229 [ACK] Seq=1 Ack=64801 Win=781 Len=0"
"33","0.450268","20.209.142.129","10.12.189.219","TCP","60","443  >  51229 [ACK] Seq=1 Ack=67681 Win=781 Len=0"
"34","0.450268","20.209.142.129","10.12.189.219","TCP","60","443  >  51229 [ACK] Seq=1 Ack=70561 Win=781 Len=0"
"35","0.450268","20.209.142.129","10.12.189.219","TCP","60","443  >  51229 [ACK] Seq=1 Ack=73441 Win=781 Len=0"
